"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
2116,6.39248621177068,8.56352214506243,0.18403067177863,0.0240040006667778,14.6144357392899,14.5904317386231,31.9100415756726,1247.62296648833,0.73777205866981,0.447566178113646,0.0120020003333889,6.39248621177068,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2117,5.58061432036901,8.35391377025331,0.0600100016669445,0.0200033338889815,12.590098349725,12.570095015836,31.0109175688475,1120.46607923297,0.665915693737471,0.393995740953223,0.0120020003333889,5.58061432036901,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2118,10.1674122141302,7.97027496936434,10.8898149691615,2.44840806801134,17.5109184864144,15.0625104184031,41.6529012831888,2011.73984722507,0.921441401936904,0.82216059641378,0.0120020003333889,10.1674122141302,16.0,0.0,16.0,0.012,0.012,0.012,0.0,0.0,2.0
2119,7.11648320378218,8.05068904838628,3.37656276046008,0.0480080013335556,13.8223037172862,13.7742957159527,40.7573698474307,1986.27055653333,0.816258459937195,0.749247771244172,0.0120020003333889,7.11648320378218,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2120,2.22181413941005,3.54905264847246,1.20020003333889,0.528088014669112,2.13635605934322,1.60826804467411,15.4461255980916,367.000209254605,0.775581436894883,0.0881490652372551,0.188031338556426,2.22181413941005,0.0,0.0,0.0,0.188,0.188,0.188,0.0,0.0,2.0
2121,8.73282714444149,5.49263750478859,8.67344557426238,5.26487747957993,12.0620103350558,6.79713285547591,9.51564935707655,178.916843454364,0.94481395702891,0.587727197599978,0.192032005334222,8.73282714444149,12.0,0.0,12.0,0.192,0.192,0.192,0.0,0.0,2.0
2122,2.22803458857332,3.81768630005494,0.552092015335889,0.272045340890148,2.61643607267878,2.34439073178863,17.3538744869215,371.994878700346,0.737036457902453,0.104070309233582,0.180030005000833,2.22803458857332,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.0,2.0
2123,2.36373369593965,4.1466639010574,0.480080013335556,0.172028671445241,2.67244540756793,2.50041673612269,32.7703603102149,1414.05963751503,0.695881210953674,0.217747480962546,0.160026671111852,2.36373369593965,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,2.0
2124,7.91277331270244,6.03474360945014,8.33338889814969,2.40840140023337,11.6339389898316,9.22553758959827,19.1187215986593,463.842456740859,0.909656616965937,0.619817669692829,0.160026671111852,7.91277331270244,3.0,0.0,3.0,0.16,0.16,0.16,0.0,0.0,2.0
2125,2.71031696922817,4.7505451440396,0.440073345557593,0.164027337889648,2.90848474745791,2.74445740956826,34.7512945177175,1426.2114246761,0.696209144140469,0.348599240523525,0.160026671111852,2.71031696922817,2.82352941176471,0.0,2.82352941176471,0.16,0.16,0.16,0.0,0.0,2.0
2126,2.34735508654917,4.21980977107452,0.588098016336056,0.308051341890315,1.92432072012002,1.6162693782297,17.1173443011569,391.009763998284,0.749663858769703,0.24272629041562,0.164027337889648,2.34735508654917,16.0,0.0,16.0,0.164,0.164,0.164,0.0,0.0,2.0
